id,name,category,themes,summary,time,address,longitude,latitude,tags,duration,overview,city
13,더홍씨호텔 강릉,3,['숙박'],     강릉 시내 핫플 투어에 최적화된 깔끔한 숙소,,강원특별자치도 강릉시 교동 1879-1,128.876316,37.765466,[1],1,,강릉시
14,가평1등수상,4,"['레포츠', '스키', '레저', '워터파크']",     신나는 여름축제가 시작되는 곳,,강원특별자치도 춘천시 남면 박암리 514-1 가평1등수상레저,127.539114,37.721248,"[5, 14, 16, 17]",3,"가평1등수상레저는 강원도 가평에 위치해 아름다운 산과 깨끗한 강에 둘러싸여 있으며 프로선수 출신의 강사진으로 이루어진 전문화된 수상레포츠 시설이다. 500평 이상의 넓고 쾌적한 바지선과 지루할 틈이 없이 즐길 수 있는 대형 워터파크와 다양한 크기와 모양의 워터슬라이드, 최신 놀이 기구 15종이 구비되어 있다. 또한 직영 펜션 및 레포츠 타운과 연계된 30여 개의 협력 펜션을 저렴한 금액으로 이용할 수 있다. 저녁 6시부터 이용 가능한 무한 리필 바비큐가 있어 완벽한 휴가지에서 하루를 마무리하기에 좋다. 다양하고 알찬 구성의 패키지 상품을 이용하면 보다 합리적인 가격으로 모든 시설을 이용할 수 있다. 이 밖에 수상스키와 웨이크보드 입문자를 위한 강습도 준비되어 있으니 강습과 기타 자세한 사항은 홈페이지를 참고하면 된다.",춘천시
15,원수상레저,4,"['레포츠', '스키', '레저']",     맑은 홍천강에서 즐기는 수상 레저와 무한 리필 BBQ,,강원특별자치도 춘천시 남면 가정리 922-2,127.568875,37.734515,"[5, 16]",3,"원수상레저는 수상레저와 펜션을 함께 운영하는 곳으로 강원도 홍천강 상류에 위치해 있다. 약 200여 평의 수상레저시설을 보유하고 있으며 10년 이상 베테랑 강사진이 수상스키와 웨이크보드 입문자를 위한 강습을 하고 있다. 수상스키와 워터파크, 10여 종의 최신 놀이 기구를 즐길 수 있으며 이곳에서 직접 운영하는 펜션 호수와 통나무, 강촌 유앤아이를 함께 이용할 수 있다. 다양한 패키지 상품이 준비되어 있어 합리적인 가격으로 모든 시설을 이용할 수 있으며, 숙박 패키지를 이용할 경우 무한 리필 바비큐 서비스도 가능하다. 패키지 이용객이 아니어도 바비큐장은 무료로 이용할 수 있다. 그 외에 이용 요금과 강습 프로그램에 관한 자세한 내용은 홈페이지를 참고하면 된다.",춘천시
17,산악코스텔,3,"['숙박', '가족']",     군장병들이 가족과 편안하게 머무를 수 있는 군복지시설,,강원특별자치도 인제군 기린면 현리 181,128.324125,37.946842,[1],1,,인제군
18,봉바위돌집,3,"['레포츠', '아이', '캠핑', '계곡']",     천혜의 자연과 완벽한 휴식을 보장하는 캠핑 낙원,,강원특별자치도 원주시 호저면 용곡리 546-1,127.891207,37.452446,"[4, 5, 7, 8, 9, 12, 14]",1,"봉바위돌집캠핑장은 주변이 산으로 둘러싸여 있어 경관이 뛰어나며 조용한 환경으로 도시를 떠나 편안한 힐링을 누리기에 최적의 장소이다. 바위 절벽 아래 넓고 잔잔한 계곡을 끼고 31개의 캠핑 사이트가 나무그늘 아래 배치되어 있으며, 중간중간 전기 박스가 설치되어 있어 리드선만 준비해 간다면 불편 없이 전기를 사용할 수 있다. 수심이 깊지 않고 잔잔해 어린아이를 동반한 가족 단위 방문객의 캠핑지로 안성맞춤이다. 매점과 관리실, 넓고 깨끗하게 관리된 남녀 탈의실과 샤워실, 개수대와 공용 냉장고, 전자레인지도 사용할 수 있다. 
이곳은 캠핑을 아는 사람들 사이에서 이미 유명한 캠핑지로 예약이 그만큼 어렵기로도 알려져 있다. 원하는 날짜 한 달 전 1일 오전 10시에 선착순으로 수신된 문자로만 예약을 받는다. 성수기와 주말에는 예약이 어렵다.
운영자의 철저한 캠핑장 관리로 모든 시설이 쾌적하며 깔끔한 위생 상태를 유지하고 있는 것도 방문객이 끊이지 않는 이유 중 하나이다. 캠핑장과 함께 하루 이용할 수 있는 평상도 함께 운영하는데 모두 성인 2인과 아이 2인이라는 인원 제한을 두고 있다. 자유로운 출입과 늦은 시간까지 소란이 이어지는 등의 불편함을 없애고자 한 운영 규칙은 자정으로 정해진 소등 시간에도 반영된다.",원주시
20,보스코아 호텔,3,['숙박'],     집밥같은 조식이 일품인 깔끔한 호텔,,강원특별자치도 원주시 반곡동 1901-6,127.986578,37.326738,[1],1,,원주시
21,원주시티호텔,3,['숙박'],대형 세미나실이 있는 원주 3성급 호텔,매일 00:00 ~ 24:00,강원특별자치도 원주시 반곡동 1900-2,127.985979,37.326568,[1],1,,원주시
22,쏠비치 양양 오션플레이,4,"['관광지', '물놀이', '워터파크']",동해바다를 조망하며 사계절 물놀이가 가능한 워터파크,,강원특별자치도 양양군 손양면 오산리 23-4,128.666596,38.087964,"[5, 14, 17, 18]",3,"쏠비치 양양 오션플레이는 강원도 양양군 손양면에 있는 쏠비치 호텔앤리조트의 물놀이 시설이다. 4계절 내내 물놀이를 즐길 수 있도록 실내와 실외에 다양한 풀과 미끄럼틀, 카바나, 스낵바 등을 갖추고 있다. 오션플레이 이용객은 비치 연결통로를 이용하여 워터파크와 프라이빗비치를 동시에 즐길 수 있다. 투숙객이나 대명 회원은 할인 혜택을 받을 수 있다. 실내존은 스페인의 천재 건축가 가우디의 구엘공원을 모티브로 파도모형의 곡선을 형상화하여 건축된 인테리어가 특징적이다. 각종 워터 마사지 시스템이 준비되어 있는 기능성 스파존에서 온몸의 긴장을 부드럽게 풀어주고, 4계절 내내 실내 아쿠아풀에서 바다를 조망하며 다양한 바데풀 프로그램 코스를 즐길 수 있다. 실외존은 야외풀이 위치하여 가족모두가 즐거운 물놀이를 할 수 있게 구성되어 있다. 이외에 동해안 청정바다에서 직접 끌어올린 해수에서 즐기는 사우나와 깨끗한 동해바다를 마주할 수 있는 노천탕과 야외풀, 피로를 풀 수 있는 마르테라피 센터를 갖추고 있다.
프라이빗비치에서는 카바나와 파라솔, 패들보드 등을 대여하여 즐길 수 있다.
주변에 함께 가볼 만한 곳은 선사유적박물관, 양양전통시장, 낙산사, 수산항 등이 있다.",양양군
23,더낙산호텔,3,"['숙박', '해수욕장']",낙산사와 낙산해수욕장을 전망할 수 있는 비즈니스 호텔,,강원특별자치도 양양군 강현면 전진리 7-33,128.631156,38.119821,[1],1,,양양군
24,서프월드,4,"['레포츠', '스포츠', '해변']",서핑과 여가를 한번에 즐길 수 있는 핫플레이스,,강원특별자치도 양양군 현남면 인구리 634-6,128.761416,37.969232,"[2, 4, 5, 9, 14]",3,"서프월드는 양양 인구해변에 위치하고 있으며 서핑과 휴식을 즐길 수 있는 곳이다. 서핑 강습, 서핑 보드 렌털, 서핑 슈트 렌털 등의 서비스를 제공하고, 함께 운영하고 있는 스케줄양양은 수영장이 있는 야외라운지바로 풀바, 버거 월드, BBQ 랩, 라운지 바 등의 다양한 먹거리와 분위기를 즐길 수 있다. 1층은 서프월드라운지와 버거월드, 2층은 bbq삼겹살 등 고깃집, 3층 교육실 이론강습실, 4층 오픈형 카페로 구성되어 있다. 이곳은 인스타그램에서도 인기가 많은 곳으로, 특히 젊은 세대들에게 핫한 여행지이다. 서프월드의 영업시간은 평일에는 오후 12시부터 오전 1시 주말은 새벽 3시까지이며, 입장료는 없다. 단, 음식과 음료는 별도로 구매해야 한다. 서프월드의 서핑강습은 실내이론강습 30분 해변 앞 지상강습 30분, 수중강습 1시간 프리서핑 1시간 등을 이용할 수 있다.",양양군
25,콘도식민박,3,"['숙박', '바다', '동해']",탁 트인 동해바다의 일출과 설악산을 품은 콘도,,강원특별자치도 고성군 토성면 아야진리 127-55,128.551535,38.273206,[1],1,,고성군
26,LF문암다이브리조트,4,"['레포츠', '물놀이', '다이빙']",동해에서 스쿠버 다이빙을 체험 할수 있는 곳,,강원특별자치도 고성군 죽왕면 문암진리 134-16 LF문암다이브리조트,128.54994,38.296388,"[5, 14]",3,,고성군
28,루비코니 집라인,4,['레포츠'],허공을 질주하는 짜릿한 쾌감의 짚라인,,강원특별자치도 춘천시 신동면 증리 323-2,127.71308,37.816459,[5],3,"루비코니 집라인은 춘천시 김유정역 레일파크 내에 있는 집라인 시설이다. 왕복 260m로 시원하게 공중을 질주하는 쾌감을 느낄 수 있다. 김유정역에서 도보로 1분 거리에 있으며 레일바이크 이용객은 할인가로 집라인을 이용할 수 있다. 
남녀노소 누구나 안전하게  즐길 수 있으며 아이와 동반 탑승도 가능하니 가족 단위 방문객도 아이와 함께 도전해 볼 만하다. 동절기에는 주말에만 운영하는 점과 기상 상황에 따라 편도 운행이 있을 수 있다는 점도 참고하도록 한다. 티켓은 현장 구매도 가능하며 할인 이벤트도 다양하게 있다. 
인근 관광지로는 사진 찍기 명소인 옛 김유정역과 김유정문학관이 있으니 함께 둘러볼 것을 추천한다.",춘천시
29,미리내캠프,4,['레포츠'],내설악에 위치한 대규모 캠프형 수련시설,월~금 09:00 ~ 18:00,강원특별자치도 인제군 북면 용대리 1528-12 미리내캠프,128.289204,38.180453,[5],1,"강원도 인제군에 위치한 청소년 수련시설로 수학여행, 학년 수련회 이외에도 기업연수, 가족 캠프 단위의 숙소로도 제공되고 있다. 내설악의 빼어난 자연경관 속에 600여 명이 사용할 수 있는 숙박시설과 식당, 편의점, 샤워장, 교육 시설, 축구장, 농구장, 산책로 등의 부대 시설을 갖추고 있다. 
목적에 맞춰 약 70동의 다양한 종류의 숙박시설을 이용할 수 있다. 초등, 중등, 고등학교 학생들을 대상으로 1박 2일과 2박 3일 수련회 프로그램을 많이 진행하고 있다. 또한, 가족 단위로도 머물 수 있고 회사 워크숍, 종교단체 모임 장소로도 많이 이용된다.
주변에 내설악 주요 관광지가 인접해 있고 내린천 번지점프, 내린천 짚트랙, 스카이워크, 아르고 트래킹 시설이 있다.",인제군
30,오빠딸기체험농장,4,"['관광지', '아이', '체험']",달콤한 딸기와 신나는 체험이 있는 농장,,강원특별자치도 원주시 신림면 신림리 607-1 오빠딸기체험농장,128.084591,37.224386,"[12, 18]",3,"오빠딸기체험농장은 강원도 원주시 신림면에 위치한 딸기 체험 농장이다. 꿀벌을 이용한 수정방식과 수경 재배로 달콤한 향과 높은 당도를 자랑한다. 이 농장에서는 딸기를 도.소매로 직접 판매하기도 하며 딸기 수확 체험, 딸기 와플 만들기, 딸기 초코 퐁듀 만들기, 딸기 케이크 만들기 등의 다양한 프로그램을 진행하고 있다. 딸기 수확철인 12월에서 이듬해 6월까지 체험 수업을 진행하며 예약없이 당일 방문 체험도 가능하지만 전화로 문의를 해보고 방문하는 것을 추천한다. 이 농장은 별도의 체험비나 입장료가 없이 바구니에 딸기를 담아오면 딸기 시세에 따라 수확한 딸기의 무게만큼만 결제하는 방식이다. 만들기 체험은 그 후 따로 추가로 신청 하거나 미리 온라인으로 예약을 하면 된다. 만들기 체험장은 단체용 테이블 공간과 소규모 방문객이 이용하기 좋은 프라이빗 룸 공간도 갖추고 있다. 이 외에도 동물농장 식구인 토끼와 염소에게 먹이주기 체험도 할 수 있으며 미끄럼틀과 에어바운스가 있는 실내놀이공간에서 시간을 보낼수도 있다.",원주시
31,코게러지,3,['숙박'],아메리칸 서핑 감성을 느낄 수 있는 숙소,"월,화,목,금,토,일 10:00 ~ 18:30",강원특별자치도 양양군 현북면 기사문리 143-4,128.729444,38.005526,[1],2,,양양군
33,홍천문화예술회관,4,['문화'],다양한 장르의 문화 공연과 전시를 만나볼 수 있는 곳,매일 09:00 ~ 18:00 · 휴게시간 매일 12:00 ~ 13:00,강원특별자치도 홍천군 홍천읍 갈마곡리 489-4,127.895439,37.688991,[6],3,"홍천문화예술회관은 1995년 3월 23일 개관하여 공연장, 강당, 전시실 등의 시설이 있으며, 다양한 장르의 공연과 전시를 진행하고 있다.",홍천군
36,철원문화원,4,"['휴식', '문화', '체험', '전통']",철원 지역의 전통 문화 계승과 문화 향유의 거점,월~금 09:00 ~ 18:00,강원특별자치도 철원군 갈말읍 신철원리 646,127.312836,38.145279,"[6, 7, 18]",3,철원 문화원은 전통문화의 계승과 발굴 그리고 보존을 통하여 군민정서를 함양시키며 지역문화를 선도하는 역할을 하고있다.<br>,철원군
37,기우산,4,"['자연', '관광지', '휴식', '풍경', '등산']",정선 시내를 한눈에 조망하기 좋은 산,,강원특별자치도 정선군 정선읍 신월리 산125,128.673065,37.356105,"[3, 4, 5, 7, 9, 18]",3,"평생 마르지 않는 기우산(869.9m) 약수물과 기우산성, 석이바위 전망대에서 보는 비봉산은 마치 봉황이 날아와 앉는 형국이다. 또한, 정상에서 보는 정선읍 전경은 아름답다. 옛날 기우제를 지냈던 곳으로 기우산성은 애산성과 함께, 정선 고을 사수를 위해 중요한 곳으로 사시사철 등산을 즐길 수 있다.<br>",정선군
38,리빙스턴교,4,"['관광지', '문화', '역사', '유적']",가슴 아픈 전쟁의 상흔을 간직한 붉은 다리,,강원특별자치도 인제군 인제읍 덕산리,128.182506,38.088322,"[6, 18]",3,"리빙스턴교는 인제읍 덕산리에서 합강리를 잇는 다리이다. 길이 150m 폭 3.6m의 아이빔에 붉은 페인트를 칠한 목제 난간으로 세워진 생소한 이름의 리빙스턴교에는 한국 전쟁 당시의 가슴 아픈 사연이 전해져 온다.
한국 전쟁이 한창이던 1951년, 중공군의 5월 총공세 속에 인제지구 전투에 유엔군으로 참여했던 리빙스턴 소위는 6월 10일 인제 북방 2㎞ 지점에서 매복해 있던 적군에게 기습을 받아 덕산리까지 밀리게 되었다. 설상가상 폭우로 강물이 불어나 적의 총탄 세례를 막을 길이 없어 대부분의 군사들이 전사하였고 리빙스턴 소위마저 세상을 떠나게 되었다. 마지막 가는 길에 리빙스턴 소위는 강에 다리가 없어 일어난 일에 대해 통탄한 마음으로 이곳에 다리를 놓아 달라는 유언을 남겼다. 6.25 전쟁이 끝나자, 그의 미망인은 한국을 방문해 남편의 유지를 받들어 다리 건설에 필요한 기금을 희사했고, 1957년 12월 4일 리빙스턴 다리가 준공되었다.
이후 목제 시설의 노후화로 1970년 12월 육군 207공병단이 당초 리빙스턴교보다 상류지점인 위치에 길이 148m,폭 7m의 콘크리트 새 교량을 가설한 뒤 리빙스턴교라고 명명해 리빙스턴 소위의 정신을 이었다. 인제군은 리빙스턴 교량의 역사적 가치를 살리고 안보관광자원으로 활용하기 위해 지난 2013년 6월 보수공사에 착수하여 2015년, 리빙스턴교는 붉은색 상판 구조물을 통해 다리의 면모를 되살리고 시가전·진지전을 형상화한 포토존과 전망·휴게시설, 파고라 공원 등을 갖춘 새로운 역사관광명소로 재탄생하게 되었다.",인제군
39,술빛고을 정보화마을,4,"['자연', '관광지', '가족', '아이', '체험', '이색', '힐링', '농촌']",강원도 청정지역 농산물을 쉽게 만나볼 수 있는 곳,,강원특별자치도 영월군 주천면 주천리 1243-1,128.269127,37.272127,"[4, 7, 9, 12, 18]",3,,영월군
40,완택산,4,"['자연', '관광지', '등산']",천혜의 요새라고 불리는 200대 명산,,강원특별자치도 영월군 영월읍 연하리 산274,128.552398,37.21088,"[3, 4, 5, 9, 18]",3,"* 천혜의 요새였던 산, 완택산 (강원) * <br>완택산(916m)은 영월읍 삼옥리와 연하리 사이에  위치하고 있으며 산세는 동고서저 형태이다. 주능선을 경계로 동쪽 연하리 방면은  급경사에 절벽이 많고 서쪽 동강 방면은 완만한 산세를 이루고 있다. 산세가 이렇듯이,  옛날부터 완택산은 천혜의 요새로 주능선 동쪽은 대부분 수직 절벽으로서 자연 성곽을  이루고 서쪽은 동강 물줄기가 자연적인 방어선 구실을 해주었다. 그러한 이유로 이곳에는 영월군민들이 전란시 피난처로  이용하였다는 얘기가 전해지며, 능선을 따라 축성한 산성흔적이 산자락 곳곳에 조금씩  남아 있다.  완택산 등산코스는 연하리 방면에서 올라가는 코스가  일반적으로 많이 알려져 있으나 길이 가파르고 하산시에는 반대편인 삼옥리로 하산하는  불편함이 있어 교통편이 용이하지 못한 것이 흠이다.<br><br> * 지역 주민의 피난처, 완택산성 *<br> 완택산의 정상에서 북서쪽으로 이어지는 7개 봉우리의  산정을 감싸면서 돌로 축조한 석성을 완택산성이라 한다. &lt;동국여지승람&gt;에  산성의 둘레는 3,477척(약 1.05km)이며, 1290년(고려 충렬왕 16) 원나라의 반군이었던  합단(哈丹)의 무리가 침입했을 때 고을사람들이 이곳으로 피신하였다는 기록이 나온다.  그밖에 &lt;여지도서&gt;, &lt;증보문헌비고&gt; 등에도 완택산성 관련 기록이 남아  있다.<br>",영월군
41,고성교육도서관,4,"['휴식', '아이', '문화', '힐링']",대한민국 최북단에 위치한 공공도서관,매일 08:00 ~ 23:00,강원특별자치도 고성군 거진읍 거진리 427 고성군도서관,128.450147,38.439202,"[6, 7, 12]",3,"고성교육도서관은 대한민국 최북단에 있는 공공도서관이다. 토지 면적 1,481㎡, 건물 707.71 ㎡의 지상 2층 규모이며, 총 175석의 좌석과 도서 126,589권을 보유하고 있다. 건물 1층은 종합자료실로, 아동 및 일반인을 위한 각종 도서와 잡지, 신문 등을 열람하고 도서를 대출할 수 있으며 디지털자료실에서는 영상 자료 및 인터넷 정보검색 서비스를 제공하고 있다. 2층은 평생교육 프로그램과 동아리 활동 운영을 위한 문화교육실, 자율학습이 가능한 시설을 갖추고 있다.
도서관에서 운영 중인 프로그램으로는 책 읽어주는 사서 [이야기가 있는 토요일] 등의 독서문화 프로그램과 어린이부터 성인을 대상으로 하는 독서 동아리가 있으며, 평생학습 프로그램으로는 만들기 위주로 이루어지는 [가족 토요체험], 상 하반기로 나뉘어 진행하는 [문화 활동 강좌]가 있다. 문화 활동 강좌는 재미있게 배울 수 있는 미술과 수학, 성인을 대상으로 한 캘리그래피, 라탄 공예 등 취미 활동을 위한 다양한 프로그램이 마련되어 있다.",고성군
42,양구문화원,4,['문화'],양구의 전통문화를 계승하는 향토 문화의 장,월~금 09:00 ~ 18:00,강원특별자치도 양구군 양구읍 상리 394-14,127.983829,38.108828,[6],3,"양구문화원은 양구의 전통문화를 계승하고 양구문화를 널리 알리고자 설립되었다. 양구문화원에서는 양구의 역사와 문화 전반에 걸친 다양한 정보를 바탕으로 양구의 역사와 문화를 쉽게 접할 수 있도록 다양한 축제와 행사를 주관하고 문화학교를 운영하고 있다. 매년 2월에는 국토정중앙 달맞이 축제, 5월에는 곰취 축제, 6월에는 도솔산지구 전투전승행사, 10월에는 양록제와 DMZ펀치볼시래기 축제를 개최하고 있다. 국토 정중앙 달맞이 축제에서는 풍년기원 행사, 달맞이 행사, 민속놀이 경연, 각종 민속행사 및 향토 음식 시식 등 다양한 행사가 열린다. DMZ 펀치볼시래기축제에서는 양구의 대표 특산물인 시래기를 활용한 다양한 음식들을 맛보고 구입할 수 있으며, 시래기 현장 채취, 무청 김치 담그기, 다도 시음, 떡메치기, 편백나무 반신욕 및 족욕 등 여러가지 체험 프로그램을 만날 수 있다. 곰취 축제 또한 축제를 통해 군민 화합의 장을 마련하고 농가 소득증대 및 지역경제 활성화에 크게 기여하고있다.
문화원의 문화학교에서는 민요, 서예, 한국무용, 통기타 등 다양한 문화강좌 프로그램을 운영하고 있다.
양구의 역사와 전통을 체험할 수 있는 다양한 행사와 축제에 참여하면서 후곡약수터, 파로호, 직연폭포 등 주변의 관광지와 연계하는 여행도 추천할만 하다.",양구군
